date|datetime_friendly|user_id|page_name|content_name|Video Start|Video Completes|Video 25%|Video 50%|Video 75%|Audio Start|Audio Completes|Audio 25%|Audio 50%|Audio 75%|platform|market
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Build better sex (5 min)|1|1|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Stress (5 min)|1|0|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Build better trust (4 min)|1|0|1|1|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Bring grace to tough talks (4 min)|1|0|1|1|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Lovingkindness for caregivers: realizing you can't fix it all (7 min)|1|0|1|1|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Be present for your presentation (3 min)|1|0|1|1|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Lovingkindness for caregivers: compassion and equanimity (6 min)|1|0|1|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Building resilience (6 min)|1|0|1|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Build better connections (5 min)|1|0|1|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Let confidence lead your parent-teacher meeting (3 min)|1|0|1|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Breathing meditation to calm yourself in the moment (9 min)|1|0|1|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Yoga for hips and hammies (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Stepping out of habit loops (27 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|"Stop playing the ""compare game"" (5 min)"|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Hack habit loops with mindfulness (14 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Offer lovingkindness to your people (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Yoga for neck and shoulders (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Anxiety (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Healthy affirmations (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Body affirmations (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Why spreading kindness matters (3 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Living a centered life (6 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Morning meditation (1 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Pain (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Lower body stretches (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Ocean (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Offer lovingkindness to the world (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Building self-compassion (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Stretches for back pain (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|New day (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Forest stream (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Yoga for midline and core (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Responding vs reacting (7 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Physical benefits of relaxation (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Offer lovingkindness to yourself (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
