#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
181|Barbados|4,640||48||4,454||138||16,124|167|247,193|858,977|287,776|North America|62|5,995|1|||480
182|Comoros|4,050||147||3,888||15||4,547|165|||890,650|Africa|220|6,059||||17
183|Sint Maarten|3,394||42||3,037||315|2|78,149|967|37,841|871,310|43,430|North America|13|1,034|1|||7,253
184|Liechtenstein|3,228|+5|59||3,104|+28|65|3|84,386|1,542|49,126|1,284,239|38,253|Europe|12|648|1|131||1,699
185|Monaco|3,133||33||3,000||100|6|79,198|834|54,960|1,389,317|39,559|Europe|13|1,199|1|||2,528
186|Saint Martin|3,094||41||1,399||1,654|7|78,496|1,040|52,859|1,341,054|39,416|North America|13|961|1|||41,963
187|New Zealand|3,054|+38|26||2,874||154|5|611|5|2,727,853|545,342|5,002,100|Australia/Oceania|1,638|192,388|2|8||31
188|Bermuda|2,750||33||2,593||124|1|44,344|532|436,268|7,034,879|62,015|North America|23|1,879|0|||2,000
189|Turks and Caicos|2,612||20||2,503||89|1|66,441|509|94,789|2,411,136|39,313|North America|15|1,966|0|||2,264
190|Bhutan|2,585||3||2,553||29||3,309|4|798,573|1,022,130|781,283|Asia|302|260,428|1|||37
191|British Virgin Islands|2,568||37||2,500||31|7|84,307|1,215|77,252|2,536,179|30,460|North America|12|823|0|||1,018
192|Sao Tome and Principe|2,524||37||2,403||84||11,279|165|14,689|65,639|223,786|Africa|89|6,048|15|||375
